                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.0645,                 1.2694,                 1.1077,                0.64614,                0.66709,                0.68207,                0.48386,                0.97633,                 1.1529,                 1.1127,              0.0005075,              0.0005075,              0.0005075
                    122,                 1.0893,                  1.271,                 1.0891,                0.67489,                0.69912,                0.70601,                0.50508,                0.93797,                 1.1292,                 1.0849,             0.00050131,             0.00050131,             0.00050131
                    123,                 1.0535,                 1.2507,                 1.1087,                0.63294,                0.70126,                0.69997,                0.50082,                0.92954,                 1.1194,                  1.083,             0.00049513,             0.00049513,             0.00049513
                    124,                 1.0398,                 1.2564,                 1.0873,                0.67607,                0.68206,                0.69297,                0.49462,                0.93317,                 1.1315,                 1.0865,             0.00048894,             0.00048894,             0.00048894
                    125,                 1.0469,                 1.2578,                 1.0903,                0.63418,                0.72222,                0.70689,                0.51167,                0.91819,                 1.1037,                 1.0758,             0.00048275,             0.00048275,             0.00048275
                    126,                 1.0479,                 1.2461,                 1.0904,                0.65198,                0.68882,                0.68777,                0.49011,                0.93042,                  1.133,                 1.0869,             0.00047656,             0.00047656,             0.00047656
                    127,                 1.0582,                 1.2518,                 1.0929,                0.67736,                0.68867,                0.71314,                0.51539,                0.92108,                 1.1131,                 1.0775,             0.00047038,             0.00047038,             0.00047038
                    128,                  1.059,                 1.2513,                 1.0859,                0.70744,                0.67431,                0.71959,                0.52043,                0.91963,                 1.0838,                 1.0784,             0.00046419,             0.00046419,             0.00046419
                    129,                 1.0571,                 1.2685,                 1.0934,                0.65707,                 0.6717,                0.69769,                0.50473,                0.91973,                 1.1113,                 1.0768,               0.000458,               0.000458,               0.000458
                    130,                 1.0361,                 1.2498,                 1.0764,                0.64701,                 0.6967,                0.69761,                0.50745,                0.91452,                 1.1036,                 1.0732,             0.00045181,             0.00045181,             0.00045181
                    131,                 1.0403,                  1.247,                 1.0932,                0.68342,                0.69852,                0.71911,                0.52487,                0.91369,                 1.0846,                 1.0763,             0.00044563,             0.00044563,             0.00044563
                    132,                 1.0505,                 1.2249,                  1.077,                0.69528,                0.70584,                0.73796,                0.53505,                0.91111,                 1.0707,                 1.0731,             0.00043944,             0.00043944,             0.00043944
